ticker,cash,value,SharpeRatio,DrawDown
ISRG,177853,2387625,0.39,48.88%
NVR,1303280,1303280,0.15,18.23%
DVN,2112142,2112142,0.22,48.23%
MRO,2404489,2404489,0.31,54.02%
TER,94625,1122026,0.11,58.48%
PODD,2128988,2128988,0.28,51.68%
V,406543,4523503,0.61,33.23%
ENPH,6319974,6319974,0.36,73.2%
CDNS,344952,4529786,0.49,39.18%
MSCI,4384555,4384555,0.5,45.2%
CHTR,4316614,4316614,0.52,26.66%
AJG,402131,4725277,0.85,20.78%
CF,2613621,2613621,0.48,40.27%
APH,217515,2419277,0.42,27.79%
MSI,208928,2593309,0.4,29.19%
ADM,1620512,1620512,0.23,37.66%
BAC,2320253,2320253,0.35,37.46%
TECH,2285951,2285951,0.35,27.36%
DXC,3059994,3059994,0.4,35.12%
ADBE,5978064,5978064,0.65,27.73%
STLD,289113,2833358,0.36,34.45%
CPRT,324895,4424536,0.58,40.06%
TDG,5458281,5458281,0.64,35.0%
GNRC,10291510,10291510,0.61,35.61%
NOW,4169584,4169584,0.65,31.26%
LLY,5037464,5037464,0.67,28.96%
COST,279665,3186900,0.57,29.11%
ZBRA,4903367,4903367,0.82,33.65%
ACGL,285054,4779203,0.88,18.0%
MPC,289924,3000681,0.41,45.36%
BR,396727,4345397,0.58,26.33%
STX,2499287,2499287,0.31,45.81%
NOC,6123095,6123095,0.71,24.66%
NASDAQ,1199558,1199558,0.26,5.88%
ABBV,2303789,2303789,0.47,31.46%
INTU,457938,5019242,0.71,30.02%
PAYC,439958,4338343,0.7,37.8%
CMA,2611969,2611969,0.43,21.42%
CAT,191953,2052854,0.3,38.46%
ODFL,1122134,13617148,0.83,39.54%
AMZN,452901,5603028,0.53,37.91%
CSGP,650455,7176432,0.59,30.04%
PWR,232676,3364567,0.49,32.2%
BBWI,4486760,4486760,0.41,38.79%
DXCM,605695,7400377,0.48,42.09%
TXN,352761,3351847,0.54,26.92%
VRSK,259244,2883415,0.53,30.27%
OXY,1495641,1495641,0.16,31.11%
FTNT,240596,3227051,0.35,52.88%
DHI,413461,5735458,0.59,31.14%
ADSK,225993,2164308,0.32,35.2%
PYPL,2746006,2746006,0.46,33.43%
MSFT,483998,5971067,0.69,26.61%
ANSS,204065,2607211,0.39,26.59%
CTAS,774931,9545757,1.11,27.79%
BIO,2674694,2674694,0.6,20.2%
CTLT,1535656,1535656,0.24,45.97%
AME,236886,3011086,0.48,29.87%
ACN,295361,3017410,0.5,31.36%
CMG,1750911,1750911,0.23,39.19%
SHW,413681,4367916,0.54,25.08%
AMAT,651060,6803288,0.57,38.27%
DE,107089,1109431,0.07,52.7%
AMD,449264,4305213,0.33,55.79%
KLAC,4253915,4253915,0.57,33.6%
URI,6591433,6591433,0.77,41.68%
NXPI,220520,2863498,0.4,52.08%
PNC,2354944,2354944,0.44,26.24%
SEDG,5448254,5448254,0.54,54.93%
MTCH,4889771,4889771,0.54,50.49%
NVDA,60949157,60949157,0.82,29.44%
IDXX,6059599,6059599,0.66,37.06%
HD,542947,5061708,0.63,21.69%
ALB,2569626,2569626,0.33,50.18%
